ticker,permno,first_year,last_year,rows
11353,11353,1993,2007,3721
11357,11357,1993,1999,1743
11358,11358,1993,2005,2687
11361,11361,2010,2020,2538
11362,11362,1993,2000,1865
11364,11364,1993,1995,475
11365,11365,1993,2001,2181
11366,11366,1993,1996,956
11368,11368,1993,2020,5905
11369,11369,1993,2020,6999
11370,11370,2010,2020,2626
11371,11371,1993,2005,3041
11372,11372,1993,1997,930
11373,11373,1993,2000,1684
11377,11377,1993,1998,1439
11378,11378,1993,2018,6341
11379,11379,1993,2020,7037
11381,11381,1994,2004,2416
11382,11382,1993,2013,5247
11384,11384,1993,2007,3762
11385,11385,1993,1998,1309
11389,11389,1993,2008,3521
11393,11393,1993,2011,2838
11394,11394,1993,2020,7026
11396,11396,1993,2009,1639
11397,11397,1993,2020,6669
11401,11401,1993,2003,2556
11402,11402,2007,2012,1279
11403,11403,1993,2020,7050
11404,11404,1993,2020,7051
11405,11405,1993,1998,1363
11406,11406,1993,2011,4626
11409,11409,1993,1998,1214
11411,11411,1993,2006,3515
11414,11414,1993,2000,519
11415,11415,1993,2008,4023
11416,11416,1993,1999,1437
11417,11417,1993,1993,96
11422,11422,1993,1994,421
11424,11424,1993,1994,343
11425,11425,1993,2000,1804
11426,11426,1993,2011,4332
11430,11430,1993,1997,1199
11437,11437,1993,1995,619
11441,11441,1993,2020,3467
11442,11442,1993,2020,6684
11449,11449,1993,2001,1935
11450,11450,1993,1998,1472
11452,11452,1993,1996,994
11453,11453,1993,1993,240
11456,11456,1993,2011,4612
11458,11458,1993,1997,963
11459,11459,1993,1998,1354
11462,11462,1993,1996,715
11465,11465,1993,1999,1668
11466,11466,1993,1994,418
11468,11468,1993,1999,1308
11470,11470,1993,1993,202
11473,11473,1993,2005,3028
11475,11475,1993,1998,1359
11476,11476,1993,1997,1046
11477,11477,1993,1998,1372
11478,11478,1993,2013,5268
11479,11479,1993,1995,340
11480,11480,1993,1996,777
11481,11481,1993,2020,6761
11483,11483,1993,2005,3021
11484,11484,1993,2000,1839
11485,11485,1993,2005,2938
11486,11486,1993,2006,2853
11489,11489,1993,1993,78
11490,11490,1993,2002,2412
11492,11492,1993,1998,1334
11493,11493,1993,2008,2720
11496,11496,1993,1999,1418
11497,11497,1993,1994,238
11499,11499,1993,2020,6728
11502,11502,1993,1997,1137
11504,11504,1993,1996,154
11506,11506,1993,2012,3201
11508,11508,1993,1993,180
11509,11509,1993,2008,3961
11510,11510,1993,2011,4192
11511,11511,1993,2020,1442
11513,11513,1993,2014,3822
11515,11515,1993,1994,348
11516,11516,1993,1994,400
11518,11518,1993,1999,937
11522,11522,1993,2000,1935
11525,11525,1993,1996,638
11529,11529,1993,1993,14
11531,11531,1993,2006,3470
11532,11532,1993,1994,274
11533,11533,1993,2020,7010
11534,11534,1993,1999,1618
11538,11538,1993,1993,172
11539,11539,1993,1999,873
11541,11541,1993,1998,1460
11545,11545,1993,2002,2192
11547,11547,1993,2020,7047
11552,11552,1993,2019,6770
11553,11553,1993,1997,811
11554,11554,1993,1997,1254
11556,11556,1993,1994,212
11558,11558,1993,1998,1324
11559,11559,1993,1993,52
11560,11560,1993,1994,183
11561,11561,1993,1999,1496
11562,11562,1993,1998,1138
11565,11565,2001,2020,4265
11566,11566,1993,1995,508
11568,11568,1993,1998,669
11571,11571,1993,1999,1762
11574,11574,1993,2004,2794
11575,11575,1993,1993,10
11581,11581,1993,2020,7039
11587,11587,1993,2020,6571
11588,11588,1993,1994,252
11590,11590,1993,1999,1470
11591,11591,1993,1998,1358
11593,11593,1993,2020,5625
11595,11595,1993,1995,670
11596,11596,1993,1998,1196
11598,11598,1993,1997,693
11599,11599,1993,2014,5377
11600,11600,1993,2020,7049
11601,11601,1993,1999,1705
11604,11604,1993,1993,70
11607,11607,1993,2006,3317
11614,11614,1993,2001,2215
11618,11618,1993,2020,7049
11622,11622,1993,2006,2608
11624,11624,1993,2004,2850
11625,11625,1993,2007,2497
11626,11626,1993,1994,432
11628,11628,1993,2020,6658
11630,11630,1993,2001,2062
11631,11631,1993,2001,2122
11634,11634,1993,2006,3524
11635,11635,1993,1993,113
11636,11636,1993,2020,6342
11638,11638,1993,2019,6277
11639,11639,1993,1993,63
11641,11641,1993,2017,6113
11642,11642,1993,2002,1735
11643,11643,1993,2005,1663
11644,11644,1993,2020,7051
11646,11646,1993,2005,2134
11647,11647,1993,2004,1320
11651,11651,1993,1998,1355
11652,11652,1993,2012,2941
11653,11653,1993,2002,2512
11654,11654,1993,2020,6793
11656,11656,1993,2008,3190
11660,11660,1993,1998,1200
11661,11661,1993,1996,762
11662,11662,1993,2000,1862
11663,11663,1993,2006,2995
11664,11664,2010,2020,2631
11665,11665,1993,2004,2752
11668,11668,1993,1996,961
11669,11669,1993,1995,493
11670,11670,1993,1993,23
11671,11671,1993,2005,3066
11673,11673,1993,1995,583
11674,11674,1993,2020,7051
11675,11675,1993,1995,734
11677,11677,1993,1999,742
11678,11678,1993,2004,2821
11681,11681,1993,2006,3254
11687,11687,1993,1997,406
11689,11689,1993,2003,2466
11691,11691,1993,2020,7050
11692,11692,1993,1993,151
11694,11694,1993,2003,2288
11700,11700,1993,1993,13
11701,11701,1993,2020,7050
11702,11702,1993,1996,855
11703,11703,1993,2017,6212
11704,11704,1993,1996,915
11705,11705,1993,2006,1775
11706,11706,1993,1994,372
11707,11707,1993,2019,6697
11710,11710,1993,1994,153
11713,11713,1993,2008,3787
11714,11714,1993,1998,1133
11716,11716,1993,1997,636
11718,11718,1993,1993,167
11720,11720,1993,1994,451
11723,11723,1993,2001,2188
11725,11725,1993,1997,423
11726,11726,1993,1997,1189
11727,11727,1993,1999,1511
11728,11728,1993,2003,2230
11729,11729,1993,1996,948
11731,11731,1993,2020,7051
11739,11739,1996,2009,1688
11740,11740,1993,1996,562
11742,11742,1993,1996,256
11743,11743,1993,1993,62
11744,11744,1993,1993,120
11745,11745,1993,2008,2845
11747,11747,1993,1999,1512
11748,11748,1993,2020,4019
11749,11749,1993,1994,304
11750,11750,1993,2017,5901
11752,11752,1993,2020,6917
11754,11754,1993,2012,4796
11757,11757,1993,2001,2197
11760,11760,1993,2002,2371
11761,11761,1993,2001,2089
11762,11762,1993,2020,7051
11764,11764,1993,1998,1405
11765,11765,1993,1995,252
11773,11773,1993,1997,1063
11775,11775,1993,2020,6831
11776,11776,1993,1994,306
11779,11779,1993,1994,464
11781,11781,1993,2015,5014
11783,11783,1993,1996,108
11784,11784,1993,1995,259
11785,11785,1993,2002,2386
11786,11786,1993,2020,7032
11790,11790,1993,2020,6869
11792,11792,1993,1993,95
11794,11794,1993,2005,2238
11796,11796,1993,2000,1856
11802,11802,1993,1997,1161
11803,11803,1993,2020,5034
11805,11805,1993,2005,2747
11808,11808,1993,2003,2379
11809,11809,1993,2020,7019
11811,11811,1993,2001,2016
11819,11819,1993,2001,2142
11820,11820,1995,1997,352
11822,11822,1993,1993,105
11823,11823,1993,2009,4127
11825,11825,1993,2020,7027
11828,11828,1993,1994,487
11831,11831,1993,1997,951
11833,11833,1993,2004,2960
11835,11835,1993,1995,596
11838,11838,1993,1995,491
11839,11839,1993,2013,3337
11840,11840,1997,2002,1304
11844,11844,1993,2020,6823
11845,11845,1993,2020,7044
11847,11847,1993,2011,2373
11849,11849,1993,1999,1588
11850,11850,1993,2020,7051
11851,11851,1993,2005,1316
11853,11853,1993,2000,1928
11854,11854,1993,1999,1492
11858,11858,1993,1993,249
11861,11861,1993,1998,1244
11862,11862,1993,1994,183
11864,11864,1993,1994,301
11866,11866,1993,2012,4427
11868,11868,1993,1998,1283
11873,11873,1993,2010,4301
11874,11874,1993,2000,1940
11878,11878,1993,1997,1262
11879,11879,1993,1999,1465
11881,11881,1993,2009,3742
11883,11883,1993,1997,848
11884,11884,1993,2020,6885
11887,11887,1993,2006,3396
11888,11888,1993,1997,1233
11891,11891,1993,2020,7051
11895,11895,1993,2002,2469
11896,11896,1993,2020,6792
11898,11898,1993,2009,2509
11899,11899,1993,2004,2691
11901,11901,1993,2005,2975
11903,11903,1993,2012,4568
11908,11908,1993,2010,4484
11910,11910,1993,2010,4511
11911,11911,1993,1998,1301
11912,11912,1993,1994,306
11913,11913,1993,1997,1197
